Can I eat Durian during pregnancy?,"Durian contains high calories as well as potassium salt. Thus, do eat in moderation or you can gain excessive weight during pregnancy.",should,Diet
Can I eat raw food during pregnancy?,"Raw and undercooked meat, poultry, seafood, e.g. raw oyster, cockles, sashimi and sushi; and raw or half-boiled eggs contain a variety of food-borne bacteria and viruses. Changes in your metabolism and circulation during pregnancy may increase the risk of bacterial food poisoning, and your reaction may be more severe than if you were not pregnant. Avoid raw or halfboiled eggs. Besides this, you can feel free to have any nutritious, balanced diet of your choice!",should,Diet
Can I eat food ingredients subject to mercury expsoure?,"Food safety is extremely important during pregnancy.  Bacterial toxins and certain harmful chemicals such as alcohol and methylmercury can pass from mother to baby, and cause undesirable outcomes. Avoid swordfish, shark, tilefish and king mackerel. Limit canned albacore tuna.",should,Diet
Can I eat unpasturized dairy products?,"Avoid unpasteurized milk, soft cheeses, e.g. Brie, feta, Camembert and Roquefort as these ingredients are prone to Listeria monocytogenes, a bacteria that causes listeriosis, which may result in miscarriages and stillbirth.",should,Diet
Can I eat uncooked processed meat?,"Avoid Liver pates, uncooked hot dogs, ham and luncheon meats as they are prone to Listeria monocytogenes, a bacteria that causes listeriosis, which may result in miscarriages and stillbirth.",should,Diet
When can I travel during pregnancy?,Traveling should be done mostly in the second trimester when the pregnant woman is more comfortable and the risk of miscarriage and preterm delivery are lower. Discuss your trip plans with your doctor before booking your flight.,when,Travelling
Can I carry heavy items when I am pregnant?,"It is common to hear that it is unsafe to lift heavy things in pregnancy. However, the risk of injury is usually directed at the mother and not the baby. The increase in the level of hormones during pregnancy causes the ligaments to soften, which leads to joints that may be less stable. Also, the center of gravity of the pregnant mother has shifted which puts more stress on her back. These two factors make the mother more susceptible to injury when lifting heavy things.",when,Safety
What kind of underwear should I wear?,"Normal underwear can be worn during pregnancy. However, some women prefer oversized underwear to pull up over their bump. During pregnancy, body temperature increases and vaginal discharge changes. Pregnant women are thus more prone to fungal and bacterial infections. Cotton underwear will keep the perineal area ventilated and discourage growth of these organisms.",what,Clothes
Why do I feel unbalanced?,"Your feet increase in size during pregnancy due to water retention in the legs. Also, pregnant women are prone to falling and tripping due to changes in centre of gravity and dynamics. Walking while distracted by a mobile device can increase this risk, and falling in the pregnancy can cause serious harm!",why,Health
Can I dye my hair during pregnancy?,"The concern about exposures to hair dye and hair straightening agents is that there may be absorption of chemicals into the bloodstream at the time of use. However, most chemicals are cleared from the bloodstream fairly quickly. Unfortunately, there have been only very few studies on the use of such products during pregnancy to quantify the risk of hair dye to a developing baby. While no one can provide data about timing and safety, avoid dyeing or rebonding the hair once the woman has conceived.",should,Chemical products
Can I keep pet cats during my pregnancy?,"Cats may transmit toxoplasmosis (a parasitic infection). Toxoplasmosis can cause premature delivery, serious malformations of baby and low birth-weight. Transmission usually occurs from contact with feline feces. Outdoor cats are more likely to have toxoplasmosis than cats that remain strictly indoors. Since cats may use both litter boxes and outdoor sand and soil, you can become infected after changing a contaminated litter box, digging or gardening outside, or eating unwashed contaminated fruits and vegetables. You could get the cat tested for active infection by a vet, and ask a friend to care for them only if they're infected. You could also hand off the litter-box duty to a family member, and always wash your hands thoroughly after touching your cat. Avoid touching stray cats during your pregnancy, as they are much more likely to carry the infection than indoor cats.",should,Pets
Can I play music to my baby?,"Babies may benefit from stimulation as early as the third month of pregnancy. Once babies develop hearing in the fifth month, music is excellent for aural stimulation and to soothe the baby. Prenatal stimulation uses various stimuli such as classical music and the mother�s voice. The baby learns to recognize and respond to different stimuli, which may encourage physical, mental, and sensory development. Some studies have revealed that stimulated babies exhibit enhanced hearing, linguistic, and motor development. In general, they sleep better, are more alert, confident and content than infants who were not stimulated. They also show superior learning capacity and calm down more easily when they hear familiar sounds they heard while in the womb. Stimulated babies and their families showed more intense bonding and greater family cohesion. Prenatal stimulation provides a lasting foundation for loving communication and healthy parent-child relationships.",should,Music
